month,direction,hs2,label,value_usd,mom_pct,yoy_pct,captured_at
2026-01,IMPORT,94,"FURNIT;BEDDING,MATTRES;LUMINAIRES,LIGHT FIX;P",4670259910,-0.95,-19.52,2026-04-27T23:05:12Z
2026-01,IMPORT,61,"APPAREL ARTICLES AND ACCESSORIES, KNIT OR CRO",3368235874,-4.83,-12.26,2026-04-27T23:05:12Z
2026-01,IMPORT,73,ARTICLES OF IRON OR STEEL,3021313425,2.58,-32.06,2026-04-27T23:05:12Z
2026-01,IMPORT,62,"APPAREL ARTICLES AND ACCESSORIES, NOT KNIT ET",2896933040,16.37,-15.91,2026-04-27T23:05:12Z
2026-01,IMPORT,74,COPPER AND ARTICLES THEREOF,2860242264,9.56,94.10,2026-04-27T23:05:12Z
2026-01,IMPORT,29,ORGANIC CHEMICALS,2682153818,-1.83,-78.79,2026-04-27T23:05:12Z
2026-01,IMPORT,99,"SPECIAL IMPORT PROVISIONS, NESOI",2675335864,-10.15,33.15,2026-04-27T23:05:12Z
2026-01,IMPORT,40,RUBBER AND ARTICLES THEREOF,2637882363,-0.66,-9.37,2026-04-27T23:05:12Z
2026-01,IMPORT,76,ALUMINUM AND ARTICLES THEREOF,2374855212,8.40,-3.16,2026-04-27T23:05:12Z
2026-01,IMPORT,64,"FOOTWEAR, GAITERS ETC. AND PARTS THEREOF",2365420188,16.47,-5.21,2026-04-27T23:05:12Z
2026-01,IMPORT,88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF",2351080496,-52.46,-13.54,2026-04-27T23:05:12Z
2026-01,IMPORT,95,"TOYS, GAMES & SPORT EQUIPMENT; PARTS & ACCESS",2336844900,-1.17,-26.80,2026-04-27T23:05:12Z
2026-01,IMPORT,08,EDIBLE FRUIT & NUTS; CITRUS FRUIT OR MELON PE,2284314548,8.65,-20.93,2026-04-27T23:05:12Z
2026-01,IMPORT,02,MEAT AND EDIBLE MEAT OFFAL,1763876044,6.34,15.92,2026-04-27T23:05:12Z
2026-01,IMPORT,72,IRON AND STEEL,1685823539,4.38,-40.13,2026-04-27T23:05:12Z
2026-01,IMPORT,22,"BEVERAGES, SPIRITS AND VINEGAR",1635829245,-5.36,-38.38,2026-04-27T23:05:12Z
2026-01,IMPORT,03,"FISH, CRUSTACEANS & AQUATIC INVERTEBRATES",1539875512,-2.54,-14.65,2026-04-27T23:05:12Z
2026-01,IMPORT,38,MISCELLANEOUS CHEMICAL PRODUCTS,1487831652,-5.39,-16.31,2026-04-27T23:05:12Z
2026-01,IMPORT,44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL,1426847496,5.31,-28.33,2026-04-27T23:05:12Z
2026-01,IMPORT,28,INORG CHEM; PREC & RARE-EARTH MET & RADIOACT ,1404862604,-11.46,-26.03,2026-04-27T23:05:12Z
2026-01,IMPORT,48,PAPER & PAPERBOARD & ARTICLES (INC PAPR PULP ,1381910640,-0.05,-19.09,2026-04-27T23:05:12Z
2026-01,IMPORT,33,"ESSENTIAL OILS ETC; PERFUMERY, COSMETIC ETC P",1356378623,-8.42,-25.19,2026-04-27T23:05:12Z
2026-01,IMPORT,07,EDIBLE VEGETABLES & CERTAIN ROOTS & TUBERS,1257256719,5.13,-19.38,2026-04-27T23:05:12Z
2026-01,IMPORT,18,COCOA AND COCOA PREPARATIONS,1243028467,44.58,12.98,2026-04-27T23:05:12Z
2026-01,IMPORT,09,"COFFEE, TEA, MATE & SPICES",1232626351,4.17,7.88,2026-04-27T23:05:12Z
2026-01,IMPORT,20,"PREP VEGETABLES, FRUIT, NUTS OR OTHER PLANT P",1192035470,-5.96,-13.22,2026-04-27T23:05:12Z
2026-01,IMPORT,83,MISCELLANEOUS ARTICLES OF BASE METAL,1131907628,4.70,-15.49,2026-04-27T23:05:12Z
2026-01,IMPORT,19,"PREP CEREAL, FLOUR, STARCH OR MILK; BAKERS WA",1101930546,-15.06,-13.41,2026-04-27T23:05:12Z
2026-01,IMPORT,63,TEXTILE ART NESOI; NEEDLECRAFT SETS; WORN TEX,1101655688,3.26,-21.80,2026-04-27T23:05:12Z
2026-01,IMPORT,42,LEATHER ART; SADDLERY ETC; HANDBAGS ETC; GUT ,1043773639,-3.01,-6.45,2026-04-27T23:05:12Z
2026-01,IMPORT,15,"ANIMAL, VEGETABLE OR MICROBIAL FATS AND OILS ",971717734,-22.53,-28.52,2026-04-27T23:05:12Z
2026-01,IMPORT,82,"TOOLS, CUTLERY ETC. OF BASE METAL & PARTS THE",861571924,-2.37,-5.17,2026-04-27T23:05:12Z
2026-01,IMPORT,31,FERTILIZERS,794197881,52.55,-0.41,2026-04-27T23:05:12Z
2026-01,IMPORT,21,MISCELLANEOUS EDIBLE PREPARATIONS,737895966,-4.06,-44.19,2026-04-27T23:05:12Z
2026-01,IMPORT,70,GLASS AND GLASSWARE,701956362,4.43,-6.23,2026-04-27T23:05:12Z
2026-01,IMPORT,68,"ART OF STONE, PLASTER, CEMENT, ASBESTOS, MICA",654274693,-4.33,-18.55,2026-04-27T23:05:12Z
2026-01,IMPORT,96,MISCELLANEOUS MANUFACTURED ARTICLES,626063356,7.29,-17.53,2026-04-27T23:05:12Z
2026-01,IMPORT,16,"PREP OF MEAT,OF FISH,OF CRUSTACEANS ETC,OF IN",566830372,-3.61,-5.86,2026-04-27T23:05:12Z
2026-01,IMPORT,69,CERAMIC PRODUCTS,521769453,-6.63,-19.86,2026-04-27T23:05:12Z
2026-01,IMPORT,97,"WORKS OF ART, COLLECTORS' PIECES AND ANTIQUES",500473229,-21.40,-30.61,2026-04-27T23:05:12Z
2026-01,IMPORT,34,"SOAP ETC; WAXES, POLISH ETC; CANDLES; DENTAL ",458578694,-0.93,-10.74,2026-04-27T23:05:12Z
2026-01,IMPORT,91,CLOCKS AND WATCHES AND PARTS THEREOF,454310118,-21.61,-31.11,2026-04-27T23:05:12Z
