filed_utc,source,kind,title,link,summary
2000-01-01T22:59:00Z,research,research,Monetary policy housing investment and heterogeneous regional markets,https://www.bostonfed.org/publications/research-department-working-paper/2000/monetary-policy-housing-investment-and-heterogeneous-regional-markets.aspx,
1999-11-23T22:59:00Z,research,research,Job creation job destruction and the real exchange rate,https://www.bostonfed.org/publications/research-department-working-paper/1999/job-creation-job-destruction-and-the-real-exchange-rate.aspx,
1999-10-26T21:59:00Z,research,research,Gross job flows and firms,https://www.bostonfed.org/publications/research-department-working-paper/1999/gross-job-flows-and-firms.aspx,
1999-09-30T21:03:00Z,research,research,Does the federal reserve possess an exploitable informational advantage,https://www.bostonfed.org/publications/research-department-working-paper/1999/does-the-federal-reserve-possess-an-exploitable-informational-advantage.aspx,
1999-09-11T21:59:00Z,research,research,Network externalities and technology adoption lessons from electronic payments,https://www.bostonfed.org/publications/research-department-working-paper/1999/network-externalities-and-technology-adoption-lessons-from-electronic-payments.aspx,
1999-09-01T21:59:00Z,research,research,Are deep parameters stable the lucas critique as an empirical hypothesis,https://www.bostonfed.org/publications/research-department-working-paper/1999/are-deep-parameters-stable-the-lucas-critique-as-an-empirical-hypothesis.aspx,
1999-09-01T21:59:00Z,research,research,Is the us economy characterized by endogenous growth a timeseries test of two stochastic growth models,https://www.bostonfed.org/publications/research-department-working-paper/1999/is-the-us-economy-characterized-by-endogenous-growth-a-timeseries-test-of-two-stochastic-growth-models.aspx,
1999-08-31T21:59:00Z,research,research,Capital account liberalization financial depth and economic growth,https://www.bostonfed.org/publications/research-department-working-paper/1999/capital-account-liberalization-financial-depth-and-economic-growth.aspx,
1999-03-30T22:03:00Z,research,research,Is bank supervision central to central banking,https://www.bostonfed.org/publications/research-department-working-paper/1999/is-bank-supervision-central-to-central-banking.aspx,
1999-02-27T22:59:00Z,research,research,Fiscal retrenchments and the level of economic activity,https://www.bostonfed.org/publications/research-department-working-paper/1999/fiscal-retrenchments-and-the-level-of-economic-activity.aspx,
1999-02-09T22:59:00Z,research,research,The impact of greater bank disclosure amidst a banking crisis,https://www.bostonfed.org/publications/research-department-working-paper/1999/the-impact-of-greater-bank-disclosure-amidst-a-banking-crisis.aspx,
1999-01-20T22:59:00Z,research,research,Productivity shocks investment and the real interest rate,https://www.bostonfed.org/publications/research-department-working-paper/1999/productivity-shocks-investment-and-the-real-interest-rate.aspx,
1998-12-01T22:59:00Z,research,research,Dynamic inconsistencies counterfactual implications of a class of rational expectations models,https://www.bostonfed.org/publications/research-department-working-paper/1998/dynamic-inconsistencies-counterfactual-implications-of-a-class-of-rational-expectations-models.aspx,
1998-10-23T21:59:00Z,research,research,Japanese banking problems implications for southeast asia,https://www.bostonfed.org/publications/research-department-working-paper/1998/japanese-banking-problems-implications-for-southeast-asia.aspx,
1998-09-01T21:59:00Z,research,research,Determinants of the japan premium actions speak louder than words,https://www.bostonfed.org/publications/research-department-working-paper/1998/determinants-of-the-japan-premium-actions-speak-louder-than-words.aspx,
1998-09-01T21:59:00Z,research,research,Weekends can be rough revisiting the weekend effect in stock prices,https://www.bostonfed.org/publications/research-department-working-paper/1998/weekends-can-be-rough-revisiting-the-weekend-effect-in-stock-prices.aspx,
