ticker,cik,company,filed_date,form,phrase,filing_url
ETS,0002053641,Elite Express Holding Inc.  (ETS)  (CIK 0002053641),2026-04-13,10-Q,material weakness,https://www.sec.gov/Archives/edgar/data/2053641/000110465926042622:ets20260228x10q.htm/0001104659-26-042622:ets-20260228x10q.htm-index.html
ARAI,0001818274,Arrive AI Inc.  (ARAI)  (CIK 0001818274),2026-04-15,10-Q/A,material weakness,https://www.sec.gov/Archives/edgar/data/1818274/000149315226016857:form10qa.htm/0001493152-26-016857:form10-qa.htm-index.html
,0002028293,"Rain Enhancement Technologies Holdco, Inc.  (RAIN, RAINW)  (CIK 0002028293)",2026-04-15,10-K,material weakness,https://www.sec.gov/Archives/edgar/data/2028293/000121390026044121:ea028226510k_rainenhan.htm/0001213900-26-044121:ea0282265-10k_rainenhan.htm-index.html
LRDC,0001442492,"Laredo Oil, Inc.  (LRDC)  (CIK 0001442492)",2026-04-14,10-Q,material weakness,https://www.sec.gov/Archives/edgar/data/1442492/000119983526000107:lrdc10q.htm/0001199835-26-000107:lrdc-10q.htm-index.html
VERI,0001615165,"Veritone, Inc.  (VERI)  (CIK 0001615165)",2026-04-15,10-K,material weakness,https://www.sec.gov/Archives/edgar/data/1615165/000162828026025214:veri20251231.htm/0001628280-26-025214:veri-20251231.htm-index.html
JMSB,0001710482,"John Marshall Bancorp, Inc.  (JMSB)  (CIK 0001710482)",2026-04-15,8-K,material weakness,https://www.sec.gov/Archives/edgar/data/1710482/000171048226000003:jmsb20260415xex99d1.htm/0001710482-26-000003:jmsb-20260415xex99d1.htm-index.html
SRRE,0001083490,SUNRISE REAL ESTATE GROUP INC  (SRRE)  (CIK 0001083490),2026-04-17,10-K,material weakness,https://www.sec.gov/Archives/edgar/data/1083490/000110465926044877:srre20251231x10k.htm/0001104659-26-044877:srre-20251231x10k.htm-index.html
,0001849820,"Nauticus Robotics, Inc.  (KITT, KITTW)  (CIK 0001849820)",2026-04-15,10-K,material weakness,https://www.sec.gov/Archives/edgar/data/1849820/000184982026000051:kitt20251231.htm/0001849820-26-000051:kitt-20251231.htm-index.html
,0001854963,"SHF Holdings, Inc.  (SHFS, SHFSW)  (CIK 0001854963)",2026-04-15,10-K,material weakness,https://www.sec.gov/Archives/edgar/data/1854963/000149315226016778:form10k.htm/0001493152-26-016778:form10-k.htm-index.html
,0002089283,"Eagle Nuclear Energy Corp.  (NUCL, NUCLW)  (CIK 0002089283)",2026-04-15,10-Q,material weakness,https://www.sec.gov/Archives/edgar/data/2089283/000110465926043856:tmb20260228x10q.htm/0001104659-26-043856:tmb-20260228x10q.htm-index.html
,0001992243,"T1 Energy Inc.  (TE, TE-WT)  (CIK 0001992243)",2026-04-17,8-K,material weakness,https://www.sec.gov/Archives/edgar/data/1992243/000121390026045173:ea02866108k_t1energy.htm/0001213900-26-045173:ea0286610-8k_t1energy.htm-index.html
CLOW,0001619227,"Cloudweb, Inc.  (CLOW)  (CIK 0001619227)",2026-04-15,10-K,material weakness,https://www.sec.gov/Archives/edgar/data/1619227/000164033426000750:clow_10k.htm/0001640334-26-000750:clow_10k.htm-index.html
