country,iso3,indicator,year,value_pct,yoy_delta,captured_at
ARE,ARE,cpi_infl_pct,2029,2.000,+0.000,2026-04-27T23:10:43Z
ARE,ARE,cpi_infl_pct,2030,2.000,+0.000,2026-04-27T23:10:43Z
ARE,ARE,cpi_infl_pct,2031,2.000,+0.000,2026-04-27T23:10:43Z
Argentina,ARG,cpi_infl_pct,2017,25.700,,2026-04-27T23:10:43Z
Argentina,ARG,cpi_infl_pct,2018,34.300,+8.600,2026-04-27T23:10:43Z
Argentina,ARG,cpi_infl_pct,2019,53.500,+19.200,2026-04-27T23:10:43Z
Argentina,ARG,cpi_infl_pct,2020,42.000,-11.500,2026-04-27T23:10:43Z
Argentina,ARG,cpi_infl_pct,2021,48.400,+6.400,2026-04-27T23:10:43Z
Argentina,ARG,cpi_infl_pct,2022,72.400,+24.000,2026-04-27T23:10:43Z
Argentina,ARG,cpi_infl_pct,2023,133.500,+61.100,2026-04-27T23:10:43Z
Argentina,ARG,cpi_infl_pct,2024,219.900,+86.400,2026-04-27T23:10:43Z
Argentina,ARG,cpi_infl_pct,2025,41.900,-178.000,2026-04-27T23:10:43Z
Argentina,ARG,cpi_infl_pct,2026,30.400,-11.500,2026-04-27T23:10:43Z
Argentina,ARG,cpi_infl_pct,2027,15.700,-14.700,2026-04-27T23:10:43Z
Argentina,ARG,cpi_infl_pct,2028,9.600,-6.100,2026-04-27T23:10:43Z
Argentina,ARG,cpi_infl_pct,2029,7.500,-2.100,2026-04-27T23:10:43Z
Argentina,ARG,cpi_infl_pct,2030,7.500,+0.000,2026-04-27T23:10:43Z
Argentina,ARG,cpi_infl_pct,2031,7.500,+0.000,2026-04-27T23:10:43Z
ARM,ARM,cpi_infl_pct,2016,-1.400,-5.100,2026-04-27T23:10:43Z
ARM,ARM,cpi_infl_pct,2017,1.000,+2.400,2026-04-27T23:10:43Z
ARM,ARM,cpi_infl_pct,2018,2.500,+1.500,2026-04-27T23:10:43Z
ARM,ARM,cpi_infl_pct,2019,1.400,-1.100,2026-04-27T23:10:43Z
ARM,ARM,cpi_infl_pct,2020,1.200,-0.200,2026-04-27T23:10:43Z
ARM,ARM,cpi_infl_pct,2021,7.200,+6.000,2026-04-27T23:10:43Z
ARM,ARM,cpi_infl_pct,2022,8.600,+1.400,2026-04-27T23:10:43Z
ARM,ARM,cpi_infl_pct,2023,2.000,-6.600,2026-04-27T23:10:43Z
ARM,ARM,cpi_infl_pct,2024,0.300,-1.700,2026-04-27T23:10:43Z
ARM,ARM,cpi_infl_pct,2025,3.300,+3.000,2026-04-27T23:10:43Z
ARM,ARM,cpi_infl_pct,2026,3.600,+0.300,2026-04-27T23:10:43Z
ARM,ARM,cpi_infl_pct,2027,3.400,-0.200,2026-04-27T23:10:43Z
ARM,ARM,cpi_infl_pct,2028,3.300,-0.100,2026-04-27T23:10:43Z
ARM,ARM,cpi_infl_pct,2029,3.000,-0.300,2026-04-27T23:10:43Z
ARM,ARM,cpi_infl_pct,2030,3.000,+0.000,2026-04-27T23:10:43Z
ARM,ARM,cpi_infl_pct,2031,3.000,+0.000,2026-04-27T23:10:43Z
AS5,AS5,cpi_infl_pct,2016,2.000,-1.000,2026-04-27T23:10:43Z
AS5,AS5,cpi_infl_pct,2017,2.800,+0.800,2026-04-27T23:10:43Z
AS5,AS5,cpi_infl_pct,2018,2.600,-0.200,2026-04-27T23:10:43Z
AS5,AS5,cpi_infl_pct,2019,1.900,-0.700,2026-04-27T23:10:43Z
AS5,AS5,cpi_infl_pct,2020,0.900,-1.000,2026-04-27T23:10:43Z
AS5,AS5,cpi_infl_pct,2021,2.000,+1.100,2026-04-27T23:10:43Z
AS5,AS5,cpi_infl_pct,2022,4.800,+2.800,2026-04-27T23:10:43Z
AS5,AS5,cpi_infl_pct,2023,3.500,-1.300,2026-04-27T23:10:43Z
AS5,AS5,cpi_infl_pct,2024,2.000,-1.500,2026-04-27T23:10:43Z
AS5,AS5,cpi_infl_pct,2025,1.400,-0.600,2026-04-27T23:10:43Z
AS5,AS5,cpi_infl_pct,2026,2.600,+1.200,2026-04-27T23:10:43Z
AS5,AS5,cpi_infl_pct,2027,2.300,-0.300,2026-04-27T23:10:43Z
AS5,AS5,cpi_infl_pct,2028,2.300,+0.000,2026-04-27T23:10:43Z
AS5,AS5,cpi_infl_pct,2029,2.300,+0.000,2026-04-27T23:10:43Z
AS5,AS5,cpi_infl_pct,2030,2.300,+0.000,2026-04-27T23:10:43Z
AS5,AS5,cpi_infl_pct,2031,2.400,+0.100,2026-04-27T23:10:43Z
ATG,ATG,cpi_infl_pct,2016,-0.500,-1.500,2026-04-27T23:10:43Z
ATG,ATG,cpi_infl_pct,2017,2.400,+2.900,2026-04-27T23:10:43Z
ATG,ATG,cpi_infl_pct,2018,1.200,-1.200,2026-04-27T23:10:43Z
ATG,ATG,cpi_infl_pct,2019,1.400,+0.200,2026-04-27T23:10:43Z
ATG,ATG,cpi_infl_pct,2020,1.100,-0.300,2026-04-27T23:10:43Z
ATG,ATG,cpi_infl_pct,2021,1.600,+0.500,2026-04-27T23:10:43Z
ATG,ATG,cpi_infl_pct,2022,7.500,+5.900,2026-04-27T23:10:43Z
ATG,ATG,cpi_infl_pct,2023,5.100,-2.400,2026-04-27T23:10:43Z
ATG,ATG,cpi_infl_pct,2024,6.200,+1.100,2026-04-27T23:10:43Z
ATG,ATG,cpi_infl_pct,2025,1.400,-4.800,2026-04-27T23:10:43Z
ATG,ATG,cpi_infl_pct,2026,2.600,+1.200,2026-04-27T23:10:43Z
ATG,ATG,cpi_infl_pct,2027,2.100,-0.500,2026-04-27T23:10:43Z
ATG,ATG,cpi_infl_pct,2028,2.000,-0.100,2026-04-27T23:10:43Z
ATG,ATG,cpi_infl_pct,2029,2.000,+0.000,2026-04-27T23:10:43Z
ATG,ATG,cpi_infl_pct,2030,2.000,+0.000,2026-04-27T23:10:43Z
ATG,ATG,cpi_infl_pct,2031,2.000,+0.000,2026-04-27T23:10:43Z
Australia,AUS,cpi_infl_pct,2016,1.300,-0.200,2026-04-27T23:10:43Z
Australia,AUS,cpi_infl_pct,2017,2.000,+0.700,2026-04-27T23:10:43Z
Australia,AUS,cpi_infl_pct,2018,1.900,-0.100,2026-04-27T23:10:43Z
Australia,AUS,cpi_infl_pct,2019,1.600,-0.300,2026-04-27T23:10:43Z
Australia,AUS,cpi_infl_pct,2020,0.900,-0.700,2026-04-27T23:10:43Z
Australia,AUS,cpi_infl_pct,2021,2.800,+1.900,2026-04-27T23:10:43Z
Australia,AUS,cpi_infl_pct,2022,6.600,+3.800,2026-04-27T23:10:43Z
Australia,AUS,cpi_infl_pct,2023,5.600,-1.000,2026-04-27T23:10:43Z
Australia,AUS,cpi_infl_pct,2024,3.200,-2.400,2026-04-27T23:10:43Z
Australia,AUS,cpi_infl_pct,2025,2.900,-0.300,2026-04-27T23:10:43Z
Australia,AUS,cpi_infl_pct,2026,4.000,+1.100,2026-04-27T23:10:43Z
Australia,AUS,cpi_infl_pct,2027,3.200,-0.800,2026-04-27T23:10:43Z
Australia,AUS,cpi_infl_pct,2028,2.600,-0.600,2026-04-27T23:10:43Z
Australia,AUS,cpi_infl_pct,2029,2.500,-0.100,2026-04-27T23:10:43Z
Australia,AUS,cpi_infl_pct,2030,2.500,+0.000,2026-04-27T23:10:43Z
Australia,AUS,cpi_infl_pct,2031,2.400,-0.100,2026-04-27T23:10:43Z
AUT,AUT,cpi_infl_pct,2016,1.000,+0.200,2026-04-27T23:10:43Z
AUT,AUT,cpi_infl_pct,2017,2.200,+1.200,2026-04-27T23:10:43Z
AUT,AUT,cpi_infl_pct,2018,2.100,-0.100,2026-04-27T23:10:43Z
AUT,AUT,cpi_infl_pct,2019,1.500,-0.600,2026-04-27T23:10:43Z
AUT,AUT,cpi_infl_pct,2020,1.400,-0.100,2026-04-27T23:10:43Z
AUT,AUT,cpi_infl_pct,2021,2.800,+1.400,2026-04-27T23:10:43Z
AUT,AUT,cpi_infl_pct,2022,8.600,+5.800,2026-04-27T23:10:43Z
AUT,AUT,cpi_infl_pct,2023,7.700,-0.900,2026-04-27T23:10:43Z
AUT,AUT,cpi_infl_pct,2024,2.900,-4.800,2026-04-27T23:10:43Z
AUT,AUT,cpi_infl_pct,2025,3.600,+0.700,2026-04-27T23:10:43Z
AUT,AUT,cpi_infl_pct,2026,2.500,-1.100,2026-04-27T23:10:43Z
AUT,AUT,cpi_infl_pct,2027,2.600,+0.100,2026-04-27T23:10:43Z
AUT,AUT,cpi_infl_pct,2028,2.100,-0.500,2026-04-27T23:10:43Z
AUT,AUT,cpi_infl_pct,2029,2.100,+0.000,2026-04-27T23:10:43Z
AUT,AUT,cpi_infl_pct,2030,2.100,+0.000,2026-04-27T23:10:43Z
AUT,AUT,cpi_infl_pct,2031,2.100,+0.000,2026-04-27T23:10:43Z
AZE,AZE,cpi_infl_pct,2016,12.400,+8.400,2026-04-27T23:10:43Z
AZE,AZE,cpi_infl_pct,2017,12.900,+0.500,2026-04-27T23:10:43Z
AZE,AZE,cpi_infl_pct,2018,2.300,-10.600,2026-04-27T23:10:43Z
AZE,AZE,cpi_infl_pct,2019,2.600,+0.300,2026-04-27T23:10:43Z
