country,iso2,period,hicp_annual_pct,mom_delta,captured_at
Finland,FI,2023-11,0.70,-1.70,2026-04-27T23:10:44Z
Finland,FI,2023-12,1.30,+0.60,2026-04-27T23:10:44Z
Finland,FI,2024-01,1.10,-0.20,2026-04-27T23:10:44Z
Finland,FI,2024-02,1.10,+0.00,2026-04-27T23:10:44Z
Finland,FI,2024-03,0.60,-0.50,2026-04-27T23:10:44Z
Finland,FI,2024-04,0.60,+0.00,2026-04-27T23:10:44Z
Finland,FI,2024-05,0.40,-0.20,2026-04-27T23:10:44Z
Finland,FI,2024-06,0.50,+0.10,2026-04-27T23:10:44Z
Finland,FI,2024-07,0.50,+0.00,2026-04-27T23:10:44Z
Finland,FI,2024-08,1.10,+0.60,2026-04-27T23:10:44Z
Finland,FI,2024-09,1.00,-0.10,2026-04-27T23:10:44Z
Finland,FI,2024-10,1.50,+0.50,2026-04-27T23:10:44Z
Finland,FI,2024-11,1.70,+0.20,2026-04-27T23:10:44Z
Finland,FI,2024-12,1.60,-0.10,2026-04-27T23:10:44Z
Finland,FI,2025-01,1.70,+0.10,2026-04-27T23:10:44Z
Finland,FI,2025-02,1.50,-0.20,2026-04-27T23:10:44Z
Finland,FI,2025-03,1.80,+0.30,2026-04-27T23:10:44Z
Finland,FI,2025-04,1.90,+0.10,2026-04-27T23:10:44Z
Finland,FI,2025-05,2.00,+0.10,2026-04-27T23:10:44Z
Finland,FI,2025-06,1.90,-0.10,2026-04-27T23:10:44Z
Finland,FI,2025-07,1.90,+0.00,2026-04-27T23:10:44Z
Finland,FI,2025-08,2.20,+0.30,2026-04-27T23:10:44Z
Finland,FI,2025-09,2.20,+0.00,2026-04-27T23:10:44Z
Finland,FI,2025-10,1.40,-0.80,2026-04-27T23:10:44Z
Finland,FI,2025-11,1.50,+0.10,2026-04-27T23:10:44Z
Finland,FI,2025-12,1.70,+0.20,2026-04-27T23:10:44Z
France,FR,2023-01,7.00,,2026-04-27T23:10:44Z
France,FR,2023-02,7.30,+0.30,2026-04-27T23:10:44Z
France,FR,2023-03,6.70,-0.60,2026-04-27T23:10:44Z
France,FR,2023-04,6.90,+0.20,2026-04-27T23:10:44Z
France,FR,2023-05,6.00,-0.90,2026-04-27T23:10:44Z
France,FR,2023-06,5.30,-0.70,2026-04-27T23:10:44Z
France,FR,2023-07,5.10,-0.20,2026-04-27T23:10:44Z
France,FR,2023-08,5.70,+0.60,2026-04-27T23:10:44Z
France,FR,2023-09,5.70,+0.00,2026-04-27T23:10:44Z
France,FR,2023-10,4.50,-1.20,2026-04-27T23:10:44Z
France,FR,2023-11,3.90,-0.60,2026-04-27T23:10:44Z
France,FR,2023-12,4.10,+0.20,2026-04-27T23:10:44Z
France,FR,2024-01,3.40,-0.70,2026-04-27T23:10:44Z
France,FR,2024-02,3.20,-0.20,2026-04-27T23:10:44Z
France,FR,2024-03,2.40,-0.80,2026-04-27T23:10:44Z
France,FR,2024-04,2.40,+0.00,2026-04-27T23:10:44Z
France,FR,2024-05,2.60,+0.20,2026-04-27T23:10:44Z
France,FR,2024-06,2.50,-0.10,2026-04-27T23:10:44Z
France,FR,2024-07,2.70,+0.20,2026-04-27T23:10:44Z
France,FR,2024-08,2.20,-0.50,2026-04-27T23:10:44Z
France,FR,2024-09,1.40,-0.80,2026-04-27T23:10:44Z
France,FR,2024-10,1.60,+0.20,2026-04-27T23:10:44Z
France,FR,2024-11,1.70,+0.10,2026-04-27T23:10:44Z
