recall_id,classification,recall_type,firm,product,reason,recall_initiation_date,status,captured_at
D-0341-2026,Class II,drug,AvKARE,"Amantadine HCl, Capsules, UPS, 100 mg, 50 Capsules (5 x 10) unit dose, Rx Only, Manufactured for: AvKARE, Pulaski, TN 38478, www.avkare.com,",Failed Dissolution Specifications: This recall has been initiated due to an Out of Specification finding in dissolution.,2026-02-13,Ongoing,2026-04-27T23:01:55Z
Z-1745-2026,Class II,device,"Medtronic MiniMed, Inc.","MiniMed 720G Insulin Pump (MMT-1809, MMT-1810, MMT-1859, MMT-1860, MMT-1867)","All Medtronic MiniMed infusion pumps (Paradigm series, 600 series, and BLE 700 series) were found to be affected by unintended over- and und",2026-02-13,Ongoing,2026-04-27T23:01:55Z
Z-1749-2026,Class II,device,"Medtronic MiniMed, Inc.","Paradigm REAL-Time Insulin Pump (MMT-522, MMT-722)","All Medtronic MiniMed infusion pumps (Paradigm series, 600 series, and BLE 700 series) were found to be affected by unintended over- and und",2026-02-13,Ongoing,2026-04-27T23:01:55Z
Z-1752-2026,Class II,device,"Medtronic MiniMed, Inc.","Paradigm REAL-Time Veo Insulin Pump (MMT-554, MMT-754)","All Medtronic MiniMed infusion pumps (Paradigm series, 600 series, and BLE 700 series) were found to be affected by unintended over- and und",2026-02-13,Ongoing,2026-04-27T23:01:55Z
Z-1747-2026,Class II,device,"Medtronic MiniMed, Inc.",MiniMed 620G Insulin Pump (MMT-1750),"All Medtronic MiniMed infusion pumps (Paradigm series, 600 series, and BLE 700 series) were found to be affected by unintended over- and und",2026-02-13,Ongoing,2026-04-27T23:01:55Z
Z-1575-2026,Class I,device,"Merit Medical Systems, Inc.","CentrosFLO Hemodialysis Catheters, REF: CENFP15K/A, CENFP15K/B, CENFP17K/A, CENFP19K/A, CENFP23K/A, CENFP27K/A, CENFP31K/A, CENFT15K, CENFT1","16F dual-valved splittable sheath introducer due to a design defect, may not split as intended, which may result in hemorrhage, foreign bodi",2026-02-13,Ongoing,2026-04-27T23:01:55Z
Z-1748-2026,Class II,device,"Medtronic MiniMed, Inc.","Paradigm Insulin Pump (MMT-712, MMT-715)","All Medtronic MiniMed infusion pumps (Paradigm series, 600 series, and BLE 700 series) were found to be affected by unintended over- and und",2026-02-13,Ongoing,2026-04-27T23:01:55Z
Z-1576-2026,Class I,device,"Merit Medical Systems, Inc.","ProGuide Chronic Dialysis Catheters, REF: DC01455550/C, DC21452419/C, DC21452419-NE5/C, DC21452823-NE5/C, DC21454035/C, DC21455550/C","16F dual-valved splittable sheath introducer due to a design defect, may not split as intended, which may result in hemorrhage, foreign bodi",2026-02-13,Ongoing,2026-04-27T23:01:55Z
D-0343-2026,Class III,drug,Slate Run Pharmaceuticals,"Eptifibatide Injection, 75 mg/100 mL vial for weight-adjusted bolus dosing, 1x100 mL Single-dose Vial, For Intravenous Use Only, Rx Only, Ma",Labeling: Not Elsewhere Classified. The carton for Eptifibatide Injection 75 mg/100 mL states 75 mg/100 mL vial for weight-adjusted bolus do,2026-02-12,Ongoing,2026-04-27T23:01:55Z
Z-1566-2026,Class I,device,Erbe USA Inc,"Flexible Cryoprobe (OD 1.1mm, L1.15mm) w/ oversheath (OD2.6mm, L817mm)  REF: 20402-401  STERILEEO.  For surgical use",Probes  may rupture/burst during activation,2026-02-12,Ongoing,2026-04-27T23:01:55Z
