kind,ticker,cik,company,file_date,accession_id,captured_at
regulatory_approval,MMED,0002062583,"MiniMed Group, Inc.",2026-03-25,0001104659-26-034156,2026-04-27T22:50:42Z
regulatory_approval,ICU,0001831868,SeaStar Medical Holding Corp,2026-03-25,0001437749-26-009780,2026-04-27T22:50:42Z
regulatory_approval,CTSO,0001175151,Cytosorbents Corp,2026-03-25,0000929638-26-001150,2026-04-27T22:50:42Z
phase_3_data,BYSI,0001677940,BeyondSpring Inc.,2026-03-25,0001171843-26-001890,2026-04-27T22:50:42Z
clinical_trial,IXHL,0001873875,Incannex Healthcare Inc.,2026-03-25,0001213900-26-033842,2026-04-27T22:50:42Z
regulatory_approval,SMTI,0000714256,Sanara MedTech Inc.,2026-03-24,0001493152-26-012266,2026-04-27T22:50:42Z
regulatory_approval,KPTI,0001503802,Karyopharm Therapeutics Inc.,2026-03-24,0001193125-26-120770,2026-04-27T22:50:42Z
regulatory_approval,CMPS,0001816590,COMPASS Pathways plc,2026-03-24,0001816590-26-000021,2026-04-27T22:50:42Z
regulatory_approval,CBSTF,0001776738,Cannabist Co Holdings Inc.,2026-03-24,0001140361-26-010926,2026-04-27T22:50:42Z
phase_3_data,KPTI,0001503802,Karyopharm Therapeutics Inc.,2026-03-24,0001193125-26-120770,2026-04-27T22:50:42Z
clinical_trial,OCGN,0001372299,"Ocugen, Inc.",2026-03-24,0001104659-26-033724,2026-04-27T22:50:42Z
regulatory_approval,UEC,0001334933,URANIUM ENERGY CORP,2026-03-23,0001437749-26-009421,2026-04-27T22:50:42Z
regulatory_approval,INSM,0001104506,INSMED Inc,2026-03-23,0001140361-26-010651,2026-04-27T22:50:42Z
regulatory_approval,EG,0001095073,"EVEREST GROUP, LTD.",2026-03-23,0001095073-26-000014,2026-04-27T22:50:42Z
regulatory_approval,APGE,0001974640,"Apogee Therapeutics, Inc.",2026-03-23,0001104659-26-032950,2026-04-27T22:50:42Z
phase_3_data,APGE,0001974640,"Apogee Therapeutics, Inc.",2026-03-23,0001104659-26-032950,2026-04-27T22:50:42Z
