category_code,data_type_code,period,value_thousand,mom_pct,yoy_pct,captured_at
APERMITS,TOTAL,2025-12,1455,4.83,-1.69,2026-04-27T23:10:23Z
APERMITS,TOTAL,2026-01,1386,-4.74,-5.07,2026-04-27T23:10:23Z
ASTARTS,MULTI,2024-02,396,,,2026-04-27T23:10:23Z
ASTARTS,MULTI,2024-03,260,-34.34,,2026-04-27T23:10:23Z
ASTARTS,MULTI,2024-04,326,25.38,,2026-04-27T23:10:23Z
ASTARTS,MULTI,2024-05,301,-7.67,,2026-04-27T23:10:23Z
ASTARTS,MULTI,2024-06,329,9.30,,2026-04-27T23:10:23Z
ASTARTS,MULTI,2024-07,369,12.16,,2026-04-27T23:10:23Z
ASTARTS,MULTI,2024-08,348,-5.69,,2026-04-27T23:10:23Z
ASTARTS,MULTI,2024-09,299,-14.08,,2026-04-27T23:10:23Z
ASTARTS,MULTI,2024-10,389,30.10,,2026-04-27T23:10:23Z
ASTARTS,MULTI,2024-11,266,-31.62,,2026-04-27T23:10:23Z
ASTARTS,MULTI,2024-12,406,52.63,,2026-04-27T23:10:23Z
ASTARTS,MULTI,2025-01,334,-17.73,,2026-04-27T23:10:23Z
ASTARTS,MULTI,2025-02,364,8.98,-8.08,2026-04-27T23:10:23Z
ASTARTS,MULTI,2025-03,393,7.97,51.15,2026-04-27T23:10:23Z
ASTARTS,MULTI,2025-04,432,9.92,32.52,2026-04-27T23:10:23Z
ASTARTS,MULTI,2025-05,313,-27.55,3.99,2026-04-27T23:10:23Z
ASTARTS,MULTI,2025-06,433,38.34,31.61,2026-04-27T23:10:23Z
ASTARTS,MULTI,2025-07,449,3.70,21.68,2026-04-27T23:10:23Z
ASTARTS,MULTI,2025-08,411,-8.46,18.10,2026-04-27T23:10:23Z
ASTARTS,MULTI,2025-09,481,17.03,60.87,2026-04-27T23:10:23Z
ASTARTS,MULTI,2025-10,353,-26.61,-9.25,2026-04-27T23:10:23Z
ASTARTS,MULTI,2025-11,378,7.08,42.11,2026-04-27T23:10:23Z
ASTARTS,MULTI,2025-12,406,7.41,0.00,2026-04-27T23:10:23Z
ASTARTS,MULTI,2026-01,524,29.06,56.89,2026-04-27T23:10:23Z
ASTARTS,SINGLE,2024-02,1140,,,2026-04-27T23:10:23Z
ASTARTS,SINGLE,2024-03,1045,-8.33,,2026-04-27T23:10:23Z
ASTARTS,SINGLE,2024-04,1053,0.77,,2026-04-27T23:10:23Z
ASTARTS,SINGLE,2024-05,997,-5.32,,2026-04-27T23:10:23Z
ASTARTS,SINGLE,2024-06,981,-1.60,,2026-04-27T23:10:23Z
ASTARTS,SINGLE,2024-07,871,-11.21,,2026-04-27T23:10:23Z
ASTARTS,SINGLE,2024-08,1008,15.73,,2026-04-27T23:10:23Z
ASTARTS,SINGLE,2024-09,1043,3.47,,2026-04-27T23:10:23Z
ASTARTS,SINGLE,2024-10,948,-9.11,,2026-04-27T23:10:23Z
ASTARTS,SINGLE,2024-11,1014,6.96,,2026-04-27T23:10:23Z
ASTARTS,SINGLE,2024-12,1078,6.31,,2026-04-27T23:10:23Z
ASTARTS,SINGLE,2025-01,1000,-7.24,,2026-04-27T23:10:23Z
ASTARTS,SINGLE,2025-02,1098,9.80,-3.68,2026-04-27T23:10:23Z
ASTARTS,SINGLE,2025-03,948,-13.66,-9.28,2026-04-27T23:10:23Z
ASTARTS,SINGLE,2025-04,948,0.00,-9.97,2026-04-27T23:10:23Z
ASTARTS,SINGLE,2025-05,949,0.11,-4.81,2026-04-27T23:10:23Z
ASTARTS,SINGLE,2025-06,925,-2.53,-5.71,2026-04-27T23:10:23Z
ASTARTS,SINGLE,2025-07,951,2.81,9.18,2026-04-27T23:10:23Z
ASTARTS,SINGLE,2025-08,869,-8.62,-13.79,2026-04-27T23:10:23Z
ASTARTS,SINGLE,2025-09,836,-3.80,-19.85,2026-04-27T23:10:23Z
ASTARTS,SINGLE,2025-10,894,6.94,-5.70,2026-04-27T23:10:23Z
ASTARTS,SINGLE,2025-11,931,4.14,-8.19,2026-04-27T23:10:23Z
ASTARTS,SINGLE,2025-12,962,3.33,-10.76,2026-04-27T23:10:23Z
ASTARTS,SINGLE,2026-01,935,-2.81,-6.50,2026-04-27T23:10:23Z
ASTARTS,TOTAL,2024-02,1552,,,2026-04-27T23:10:23Z
ASTARTS,TOTAL,2024-03,1312,-15.46,,2026-04-27T23:10:23Z
ASTARTS,TOTAL,2024-04,1385,5.56,,2026-04-27T23:10:23Z
ASTARTS,TOTAL,2024-05,1316,-4.98,,2026-04-27T23:10:23Z
ASTARTS,TOTAL,2024-06,1327,0.84,,2026-04-27T23:10:23Z
ASTARTS,TOTAL,2024-07,1265,-4.67,,2026-04-27T23:10:23Z
ASTARTS,TOTAL,2024-08,1391,9.96,,2026-04-27T23:10:23Z
ASTARTS,TOTAL,2024-09,1357,-2.44,,2026-04-27T23:10:23Z
ASTARTS,TOTAL,2024-10,1352,-0.37,,2026-04-27T23:10:23Z
ASTARTS,TOTAL,2024-11,1295,-4.22,,2026-04-27T23:10:23Z
ASTARTS,TOTAL,2024-12,1514,16.91,,2026-04-27T23:10:23Z
ASTARTS,TOTAL,2025-01,1358,-10.30,,2026-04-27T23:10:23Z
ASTARTS,TOTAL,2025-02,1490,9.72,-3.99,2026-04-27T23:10:23Z
ASTARTS,TOTAL,2025-03,1355,-9.06,3.28,2026-04-27T23:10:23Z
ASTARTS,TOTAL,2025-04,1398,3.17,0.94,2026-04-27T23:10:23Z
ASTARTS,TOTAL,2025-05,1282,-8.30,-2.58,2026-04-27T23:10:23Z
ASTARTS,TOTAL,2025-06,1382,7.80,4.14,2026-04-27T23:10:23Z
ASTARTS,TOTAL,2025-07,1420,2.75,12.25,2026-04-27T23:10:23Z
ASTARTS,TOTAL,2025-08,1291,-9.08,-7.19,2026-04-27T23:10:23Z
ASTARTS,TOTAL,2025-09,1328,2.87,-2.14,2026-04-27T23:10:23Z
ASTARTS,TOTAL,2025-10,1272,-4.22,-5.92,2026-04-27T23:10:23Z
ASTARTS,TOTAL,2025-11,1324,4.09,2.24,2026-04-27T23:10:23Z
ASTARTS,TOTAL,2025-12,1387,4.76,-8.39,2026-04-27T23:10:23Z
ASTARTS,TOTAL,2026-01,1487,7.21,9.50,2026-04-27T23:10:23Z
AUTHNOTSTD,MULTI,2024-02,125,,,2026-04-27T23:10:23Z
AUTHNOTSTD,MULTI,2024-03,129,3.20,,2026-04-27T23:10:23Z
AUTHNOTSTD,MULTI,2024-04,130,0.78,,2026-04-27T23:10:23Z
AUTHNOTSTD,MULTI,2024-05,129,-0.77,,2026-04-27T23:10:23Z
AUTHNOTSTD,MULTI,2024-06,133,3.10,,2026-04-27T23:10:23Z
AUTHNOTSTD,MULTI,2024-07,136,2.26,,2026-04-27T23:10:23Z
AUTHNOTSTD,MULTI,2024-08,134,-1.47,,2026-04-27T23:10:23Z
AUTHNOTSTD,MULTI,2024-09,136,1.49,,2026-04-27T23:10:23Z
AUTHNOTSTD,MULTI,2024-10,129,-5.15,,2026-04-27T23:10:23Z
AUTHNOTSTD,MULTI,2024-11,137,6.20,,2026-04-27T23:10:23Z
