kind,ticker,cik,company,file_date,accession_id,captured_at
warrant_exercise,TRAW,0001130598,"Traws Pharma, Inc.",2026-04-15,0001104659-26-043781,2026-04-27T22:50:37Z
special_dividend,PLBC,0001168455,PLUMAS BANCORP,2026-04-15,0001437749-26-012305,2026-04-27T22:50:37Z
special_dividend,HBAN,0000049196,HUNTINGTON BANCSHARES INC /MD/,2026-04-15,0000049196-26-000029,2026-04-27T22:50:37Z
warrant_exercise,MYX,0002080087,Maywood Acquisition Corp. 2,2026-04-14,0001477932-26-002212,2026-04-27T22:50:37Z
warrant_exercise,ACGC,0002111542,ACP Holdings Acquisition Corp.,2026-04-14,0001213900-26-043633,2026-04-27T22:50:37Z
warrant_exercise,AACP,0002102123,Apogee Acquisition Corp,2026-04-14,0001213900-26-043615,2026-04-27T22:50:37Z
spinoff,CTVA,0001755672,"Corteva, Inc.",2026-04-14,0001193125-26-153947,2026-04-27T22:50:37Z
special_dividend,NUAI,0002028336,"New ERA Energy & Digital, Inc.",2026-04-14,0001213900-26-043542,2026-04-27T22:50:37Z
special_dividend,NKSH,0000796534,NATIONAL BANKSHARES INC,2026-04-14,0001193125-26-154248,2026-04-27T22:50:37Z
special_dividend,GSAT,0001366868,"Globalstar, Inc.",2026-04-14,0001140361-26-014528,2026-04-27T22:50:37Z
warrant_exercise,BE,0001664703,Bloom Energy Corp,2026-04-13,0001628280-26-024896,2026-04-27T22:50:37Z
spinoff,PHGE,0001739174,BiomX Inc.,2026-04-13,0001213900-26-042811,2026-04-27T22:50:37Z
spinoff,ASIX,0001673985,AdvanSix Inc.,2026-04-13,0001673985-26-000012,2026-04-27T22:50:37Z
special_dividend,SGI,0001206264,SOMNIGROUP INTERNATIONAL INC.,2026-04-13,0001206264-26-000048,2026-04-27T22:50:37Z
special_dividend,LEG,0000058492,LEGGETT & PLATT INC,2026-04-13,0001193125-26-151966,2026-04-27T22:50:37Z
warrant_exercise,FCUV,0001590418,FOCUS UNIVERSAL INC.,2026-04-10,0001683168-26-002816,2026-04-27T22:50:37Z
warrant_exercise,ACGC,0002111542,ACP Holdings Acquisition Corp.,2026-04-10,0001213900-26-042564,2026-04-27T22:50:37Z
warrant_exercise,AACP,0002102123,Apogee Acquisition Corp,2026-04-10,0001213900-26-042549,2026-04-27T22:50:37Z
special_dividend,RYN,0000052827,RAYONIER INC,2026-04-10,0000052827-26-000069,2026-04-27T22:50:37Z
warrant_exercise,TOVX,0000894158,"Theriva Biologics, Inc.",2026-04-09,0001104659-26-041507,2026-04-27T22:50:37Z
warrant_exercise,PROP,0001162896,Prairie Operating Co.,2026-04-09,0001140361-26-013932,2026-04-27T22:50:37Z
warrant_exercise,OSRH,0001840425,"OSR Holdings, Inc.",2026-04-09,0001213900-26-041768,2026-04-27T22:50:37Z
