month,country,imports_usd,exports_usd,trade_balance,captured_at
2026-01,MEXICO,42517650656,31587219287,-10930431369,2026-04-27T23:09:37Z
2026-01,NETHERLANDS,5940561729,3286258451,-2654303278,2026-04-27T23:09:37Z
2026-01,SINGAPORE,5141157536,2226244534,-2914913002,2026-04-27T23:09:37Z
2026-01,SOUTH KOREA,214972896,2861645065,2646672169,2026-04-27T23:09:37Z
2026-01,TAIWAN,21692763908,4914174756,-16778589152,2026-04-27T23:09:37Z
2026-01,UNITED KINGDOM,4869746755,12975825794,8106079039,2026-04-27T23:09:37Z
2026-01,VIETNAM,19595498360,1332450890,-18263047470,2026-04-27T23:09:37Z
2026-02,CANADA,29172287264,28371311032,-800976232,2026-04-27T23:09:37Z
2026-02,CHINA,18955647956,7946590522,-11009057434,2026-04-27T23:09:37Z
2026-02,FRANCE,5626955718,4050654316,-1576301402,2026-04-27T23:09:37Z
2026-02,GERMANY,9557673338,7109433630,-2448239708,2026-04-27T23:09:37Z
2026-02,INDIA,6778711570,3525149924,-3253561646,2026-04-27T23:09:37Z
2026-02,IRELAND,1669371771,8481469213,6812097442,2026-04-27T23:09:37Z
2026-02,JAPAN,10465859714,6084863413,-4380996301,2026-04-27T23:09:37Z
2026-02,MEXICO,44310729841,28906501294,-15404228547,2026-04-27T23:09:37Z
2026-02,NETHERLANDS,4942150937,3990346859,-951804078,2026-04-27T23:09:37Z
2026-02,SINGAPORE,6088954982,2829872399,-3259082583,2026-04-27T23:09:37Z
2026-02,SOUTH KOREA,154904028,7281878648,7126974620,2026-04-27T23:09:37Z
2026-02,TAIWAN,21120664456,4085544402,-17035120054,2026-04-27T23:09:37Z
2026-02,UNITED KINGDOM,5021687226,10690313398,5668626172,2026-04-27T23:09:37Z
2026-02,VIETNAM,15732307463,1300661567,-14431645896,2026-04-27T23:09:37Z
