cik,company,form,filed_at,description,link,captured_at
0000886982,GOLDMAN SACHS GROUP INC (0000886982) (Filer),424B2,2026-04-27T16:42:07-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001193125-26-182276 <b>Size:</b> 436 KB,https://www.sec.gov/Archives/edgar/data/886982/000119312526182276/0001193125-26-182276-index.htm,2026-04-27T23:05:37Z
0001114446,UBS AG (0001114446) (Filer),424B2,2026-04-27T16:41:53-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001839882-26-021326 <b>Size:</b> 566 KB,https://www.sec.gov/Archives/edgar/data/1114446/000183988226021326/0001839882-26-021326-index.htm,2026-04-27T23:05:37Z
0000947263,TORONTO DOMINION BANK (0000947263) (Filer),424B2,2026-04-27T16:40:29-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001140361-26-017141 <b>Size:</b> 445 KB,https://www.sec.gov/Archives/edgar/data/947263/000114036126017141/0001140361-26-017141-index.htm,2026-04-27T23:05:37Z
0001114446,UBS AG (0001114446) (Filer),424B2,2026-04-27T16:39:05-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001114446-26-002627 <b>Size:</b> 416 KB,https://www.sec.gov/Archives/edgar/data/1114446/000111444626002627/0001114446-26-002627-index.htm,2026-04-27T23:05:37Z
0001114446,UBS AG (0001114446) (Filer),424B2,2026-04-27T16:38:57-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001114446-26-002626 <b>Size:</b> 440 KB,https://www.sec.gov/Archives/edgar/data/1114446/000111444626002626/0001114446-26-002626-index.htm,2026-04-27T23:05:37Z
0001114446,UBS AG (0001114446) (Filer),424B2,2026-04-27T16:38:48-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001114446-26-002625 <b>Size:</b> 436 KB,https://www.sec.gov/Archives/edgar/data/1114446/000111444626002625/0001114446-26-002625-index.htm,2026-04-27T23:05:37Z
0001114446,UBS AG (0001114446) (Filer),424B2,2026-04-27T16:38:44-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001114446-26-002624 <b>Size:</b> 593 KB,https://www.sec.gov/Archives/edgar/data/1114446/000111444626002624/0001114446-26-002624-index.htm,2026-04-27T23:05:37Z
0001114446,UBS AG (0001114446) (Filer),424B2,2026-04-27T16:38:41-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001114446-26-002623 <b>Size:</b> 426 KB,https://www.sec.gov/Archives/edgar/data/1114446/000111444626002623/0001114446-26-002623-index.htm,2026-04-27T23:05:37Z
0001114446,UBS AG (0001114446) (Filer),424B2,2026-04-27T16:38:37-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001114446-26-002621 <b>Size:</b> 428 KB,https://www.sec.gov/Archives/edgar/data/1114446/000111444626002621/0001114446-26-002621-index.htm,2026-04-27T23:05:37Z
0001114446,UBS AG (0001114446) (Filer),424B2,2026-04-27T16:38:36-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001114446-26-002622 <b>Size:</b> 617 KB,https://www.sec.gov/Archives/edgar/data/1114446/000111444626002622/0001114446-26-002622-index.htm,2026-04-27T23:05:37Z
0001114446,UBS AG (0001114446) (Filer),424B2,2026-04-27T16:38:33-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001114446-26-002620 <b>Size:</b> 416 KB,https://www.sec.gov/Archives/edgar/data/1114446/000111444626002620/0001114446-26-002620-index.htm,2026-04-27T23:05:37Z
0001114446,UBS AG (0001114446) (Filer),424B2,2026-04-27T16:38:27-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001114446-26-002619 <b>Size:</b> 613 KB,https://www.sec.gov/Archives/edgar/data/1114446/000111444626002619/0001114446-26-002619-index.htm,2026-04-27T23:05:37Z
0001114446,UBS AG (0001114446) (Filer),424B2,2026-04-27T16:38:23-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001114446-26-002618 <b>Size:</b> 602 KB,https://www.sec.gov/Archives/edgar/data/1114446/000111444626002618/0001114446-26-002618-index.htm,2026-04-27T23:05:37Z
0001114446,UBS AG (0001114446) (Filer),424B2,2026-04-27T16:38:22-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001114446-26-002616 <b>Size:</b> 524 KB,https://www.sec.gov/Archives/edgar/data/1114446/000111444626002616/0001114446-26-002616-index.htm,2026-04-27T23:05:37Z
0001114446,UBS AG (0001114446) (Filer),424B2,2026-04-27T16:38:16-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001114446-26-002615 <b>Size:</b> 606 KB,https://www.sec.gov/Archives/edgar/data/1114446/000111444626002615/0001114446-26-002615-index.htm,2026-04-27T23:05:37Z
0001114446,UBS AG (0001114446) (Filer),424B2,2026-04-27T16:38:08-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001114446-26-002614 <b>Size:</b> 593 KB,https://www.sec.gov/Archives/edgar/data/1114446/000111444626002614/0001114446-26-002614-index.htm,2026-04-27T23:05:37Z
0001114446,UBS AG (0001114446) (Filer),424B2,2026-04-27T16:38:01-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001114446-26-002613 <b>Size:</b> 619 KB,https://www.sec.gov/Archives/edgar/data/1114446/000111444626002613/0001114446-26-002613-index.htm,2026-04-27T23:05:37Z
