ticker,company,cik,q_current,val_current_usd,q_prior,val_prior_usd,yoy_pct,direction,filed_current,accn_current,captured_at
ACM,AECOM,0000868857,CY2025Q4,74520000,CY2024Q4,167042000,-55.39,PROFIT,,0000868857-26-000011,2026-04-27T23:04:08Z
AERTW,"Aeries Technology, Inc.",0001853044,CY2025Q4,1157000,CY2024Q4,2670000,-56.67,PROFIT,,0001829126-26-001091,2026-04-27T23:04:08Z
NTIC,NORTHERN TECHNOLOGIES INTERNATIONAL CORPORATION,0000875582,CY2025Q4,237819,CY2024Q4,561091,-57.61,PROFIT,,0001171843-26-000136,2026-04-27T23:04:08Z
RSVRW,"RESERVOIR MEDIA, INC.",0001824403,CY2025Q4,2195985,CY2024Q4,5244091,-58.12,PROFIT,,0001104659-26-010303,2026-04-27T23:04:08Z
BCHG,Grayscale Bitcoin Cash Trust (BCH),0001732409,CY2025Q4,13824000,CY2024Q4,33565000,-58.81,PROFIT,,0001193125-26-039359,2026-04-27T23:04:08Z
KMTS,"Kestra Medical Technologies, Ltd.",0001877184,CY2025Q4,-34166000,CY2024Q4,-21509000,-58.85,LOSS,,0001193125-26-111205,2026-04-27T23:04:08Z
ESMC,Escalon Medical Corp.,0000862668,CY2025Q4,97677,CY2024Q4,246021,-60.30,PROFIT,,0001628280-26-008545,2026-04-27T23:04:08Z
CSW,"CSW INDUSTRIALS, INC.",0001624794,CY2025Q4,10261000,CY2024Q4,26948000,-61.92,PROFIT,,0001624794-26-000014,2026-04-27T23:04:08Z
SBUX,Starbucks Corporation,0000829224,CY2025Q4,293300000,CY2024Q4,780800000,-62.44,PROFIT,,0000829224-26-000011,2026-04-27T23:04:08Z
BNED,"BARNES & NOBLE EDUCATION, INC.",0001634117,CY2025Q4,6655000,CY2024Q4,17942000,-62.91,PROFIT,,0001634117-26-000018,2026-04-27T23:04:08Z
NTRP,"NEXTTRIP, INC.",0000788611,CY2025Q4,-3275566,CY2024Q4,-2009263,-63.02,LOSS,,0001493152-26-002276,2026-04-27T23:04:08Z
CODI-PC,Compass Diversified Holdings,0001345126,CY2025Q4,-71190000,CY2024Q4,-43600000,-63.28,LOSS,,0001345126-26-000026,2026-04-27T23:04:08Z
AAT,"AMERICAN ASSETS TRUST, INC.",0001500217,CY2025Q4,3148000,CY2024Q4,8977000,-64.93,PROFIT,,0001500217-26-000008,2026-04-27T23:04:08Z
