arxiv_id,published,title,authors,ticker_guess,summary,url
2604.22494v1,2026-04-24,FedSPDnet: Geometry-Aware Federated Deep Learning with SPDnet,"
      Thibault Pautrel
     | 
      Florent Bouchard
     | 
      Ammar Mian
     | 
      Guillaume Ginolhac
    ",,"We introduce two federated learning frameworks for the classical SPDnet model operating on symmetric positive definite (SPD) matrices with Stiefel-constrained parameters. Unlike standard Euclidean averaging, which violates orthogonality, ou",http://arxiv.org/abs/2604.22494v1
2604.22492v1,2026-04-24,MTT-Bench: Predicting Social Dominance in Mice via Multimodal Large Language Models,"
      Yunquan Chen
     | 
      Haoyu Chen
    ",,"Understanding social dominance in animal behavior is critical for neuroscience and behavioral studies. In this work, we explore the capability of Multimodal Large Language Models(MLLMs) to analyze raw behavioral video of mice and predict th",http://arxiv.org/abs/2604.22492v1
2604.22482v1,2026-04-24,Holo360D: A Large-Scale Real-World Dataset with Continuous Trajectories for Advancing Panoramic 3D Reconstruction and Beyond,"
      Jing Ou
     | 
      Zidong Cao
     | 
      Yinrui Ren
     | 
      Zhuoxiao Li
     | 
      Jinjing Zhu
    ",,"While feed-forward 3D reconstruction models have advanced rapidly, they still exhibit degraded performance on panoramas due to spherical distortions. Moreover, existing panoramic 3D datasets are predominantly collected with 360 cameras fixe",http://arxiv.org/abs/2604.22482v1
2604.22479v1,2026-04-24,Improving Driver Drowsiness Detection via Personalized EAR/MAR Thresholds and CNN-Based Classification,"
      Gökdeniz Ersoy
     | 
      Mehmet Alper Tatar
     | 
      Eray Tonbul
     | 
      Serap Kırbız
    ",,"Driver drowsiness is a major cause of traffic accidents worldwide, posing a serious threat to public safety. Vision-based driver monitoring systems often rely on fixed Eye Aspect Ratio (EAR) and Mouth Aspect Ratio (MAR) thresholds; however,",http://arxiv.org/abs/2604.22479v1
2604.22477v1,2026-04-24,Contrastive Semantic Projection: Faithful Neuron Labeling with Contrastive Examples,"
      Oussama Bouanani
     | 
      Jim Berend
     | 
      Wojciech Samek
     | 
      Sebastian Lapuschkin
     | 
      Maximilian Dreyer
    ",,"Neuron labeling assigns textual descriptions to internal units of deep networks. Existing approaches typically rely on highly activating examples, often yielding broad or misleading labels by focusing on dominant but incidental visual facto",http://arxiv.org/abs/2604.22477v1
2604.22476v1,2026-04-24,All Eyes on the Workflow: Automated and Efficient Event Discovery from Video Streams,"
      Marco Pegoraro
     | 
      Jonas Seng
     | 
      Dustin Heller
     | 
      Wil M. P. van der Aalst
     | 
      Kristian Kersting
    ",,"Disciplines such as business process management and process mining aid organizations by discovering insights about processes on the basis of recorded event data. However, an obstacle to process analysis is data multi-modality: for instance,",http://arxiv.org/abs/2604.22476v1
2604.22464v1,2026-04-24,Towards Adaptive Continual Model Merging via Manifold-Aware Expert Evolution,"
      Haiyun Qiu
     | 
      Xingyu Wu
     | 
      Kay Chen Tan
    ",,"Continual Model Merging (CMM) sequentially integrates task-specific models into a unified architecture without intensive retraining. However, existing CMM methods are hindered by a fundamental saturation-redundancy dilemma: backbone-centric",http://arxiv.org/abs/2604.22464v1
2604.22455v1,2026-04-24,On the Hybrid Nature of ABPMS Process Frames and its Implications on Automated Process Discovery,"
      Anti Alman
     | 
      Izack Cohen
     | 
      Avigdor Gal
     | 
      Fabrizio Maria Maggi
     | 
      Marco Montali
    ",,"A core component of any AI-Augmented Business Process Management System (ABPMS) is the process frame, which gives the system process-awareness and defines the boundaries in which the system must operate. Compared to traditional process mode",http://arxiv.org/abs/2604.22455v1
2604.22452v1,2026-04-24,Superminds Test: Actively Evaluating Collective Intelligence of Agent Society via Probing Agents,"
      Xirui Li
     | 
      Ming Li
     | 
      Yunze Xiao
     | 
      Ryan Wong
     | 
      Dianqi Li
    ",INTC,"Collective intelligence refers to the ability of a group to achieve outcomes beyond what any individual member can accomplish alone. As large language model agents scale to populations of millions, a key question arises: Does collective int",http://arxiv.org/abs/2604.22452v1
2604.22446v1,2026-04-24,From Skills to Talent: Organising Heterogeneous Agents as a Real-World Company,"
      Zhengxu Yu
     | 
      Yu Fu
     | 
      Zhiyuan He
     | 
      Yuxuan Huang
     | 
      Lee Ka Yiu
    ",,"Individual agent capabilities have advanced rapidly through modular skills and tool integrations, yet multi-agent systems remain constrained by fixed team structures, tightly coupled coordination logic, and session-bound learning. We argue ",http://arxiv.org/abs/2604.22446v1
