ticker,company,cik,q_current,val_current_usd,q_prior,val_prior_usd,yoy_pct,filed_current,accn_current,captured_at
CTXR,"Citius Pharmaceuticals, Inc.",0001506251,CY2025Q4,3944111,CY2024Q4,,,,0001213900-26-015878,2026-04-27T23:04:08Z
SKYI,"SKY CENTURY INVESTMENT, INC.",0001555017,CY2025Q4,13152,CY2024Q4,,,,0001555017-26-000002,2026-04-27T23:04:08Z
PSPX,PACIFIC SPORTS EXCHANGE INC.,0001765651,CY2025Q4,2200,CY2024Q4,,,,0001640334-26-000096,2026-04-27T23:04:08Z
GIPL,GLOBAL INNOVATIVE PLATFORMS INC.,0001837774,CY2025Q4,30000,CY2024Q4,,,,0001731122-26-000257,2026-04-27T23:04:08Z
CTOR,"Citius Oncology, Inc.",0001851484,CY2025Q4,3944111,CY2024Q4,,,,0001213900-26-015877,2026-04-27T23:04:08Z
DEVS,DEVVSTREAM CORP.,0001854480,CY2025Q4,7043,CY2024Q4,,,,0001140361-26-009427,2026-04-27T23:04:08Z
VRSSF,VERSES AI INC.,0001879001,CY2025Q4,417932,CY2024Q4,,,,0001493152-26-007628,2026-04-27T23:04:08Z
DEC,Diversified Energy Company,0001922446,CY2025Q4,666520000,CY2024Q4,,,,0001922446-26-000020,2026-04-27T23:04:08Z
GSMT,GLOBAL-SMART.TECH INC.,0001940243,CY2025Q4,28971,CY2024Q4,,,,0001940243-25-000038,2026-04-27T23:04:08Z
VWAVW,"VisionWave Holdings, Inc.",0002038439,CY2025Q4,10000000,CY2024Q4,,,,0001731122-26-000589,2026-04-27T23:04:08Z
