week_end,metric,jurisdiction,level,trend_2wk,captured_at
2025-09-07,SARS-CoV-2,Utah,90.5,6086,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,West Virginia,,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Georgia,69.8,2,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Georgia,49.167,4,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Hawaii,80.6,2,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,New York,80.667,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Ohio,53.0,288,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Washington,65.5,279,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,West Virginia,,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Illinois,49.0,322,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Virginia,35.0,-37,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Massachusetts,69.6,87,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,New York,36.0,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Florida,72.286,-10,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Virginia,61.2,97095,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Arizona,60.0,-67,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Illinois,29.0,-12,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Kentucky,71.75,-41,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Minnesota,48.2,-7,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,New York,77.5,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Ohio,59.25,126,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Oregon,50.5,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Virginia,90.333,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Vermont,25.571,0,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,New Mexico,72.25,-75,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Delaware,66.0,27,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Minnesota,36.2,66,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Nebraska,70.4,305,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,New York,70.4,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Kansas,42.143,16,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Maine,43.286,2,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,South Carolina,73.6,714,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Colorado,42.75,-62,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Connecticut,43.667,-82,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Illinois,25.667,9064,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Missouri,38.667,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,New York,40.0,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Ohio,63.75,-69,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Philadelphia,33.0,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Texas,48.8,232946,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Texas,47.4,2147483647,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Wisconsin,44.333,321,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,New York,81.0,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,New York,30.0,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Texas,86.75,3539,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Houston,81.0,-89,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Washington,54.25,414,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Washington,86.2,114,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Indiana,81.25,93,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Iowa,51.0,15,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Indiana,80.0,-23,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,North Carolina,58.6,7005,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,New York,42.667,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,New York,35.2,-100,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Wisconsin,61.0,-88,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Minnesota,58.6,80,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,New York,71.0,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Pennsylvania,47.0,8377,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Virginia,73.333,-77,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Rhode Island,64.2,427,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Kentucky,38.6,1131,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Eastern Band of Cherokee Indians,30.4,236,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Alabama,82.0,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,New York,70.8,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,New York,55.667,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Washington,64.75,762,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Texas,87.6,17,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Ohio,34.5,4,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Ohio,24.0,523,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Philadelphia,,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Texas,55.8,26135508,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,West Virginia,18.0,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,West Virginia,79.667,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Georgia,21.5,-4,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Alabama,69.0,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Kentucky,28.2,956,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,New York,24.75,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Texas,79.0,8,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Alaska,93.2,211,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Florida,80.8,170,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,North Carolina,89.8,123,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Illinois,41.667,-56,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Ohio,43.5,141,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Texas,87.0,373,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Wisconsin,30.273,-9,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Vermont,46.286,15,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Colorado,45.5,-63,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,New York,28.0,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Alabama,68.0,-3,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,New Jersey,31.143,25,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,New York,,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Ohio,61.0,201,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Texas,71.333,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Utah,90.8,3490,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Wisconsin,26.667,-65,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Indiana,53.5,70,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Kansas,37.6,150,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Missouri,,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Oregon,61.0,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Texas,62.8,861075928,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Kansas,47.833,-12,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Idaho,82.5,7,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Nevada,96.8,169,2026-04-27T23:12:20Z
