cve_id,vendor,product,vulnerability,date_added,due_date,known_ransomware,tickers_affected,short_desc,captured_at
CVE-2026-20045,Cisco,Unified Communications Manager,Cisco Unified Communications Products Code Injection Vulnerability,2026-01-21,2026-02-11,Unknown,CSCO,"Cisco Unified Communications Manager (Unified CM), Cisco Unified Communications Manager Session Management Edition (Unified CM SME), Cisco Unified Communications Manager IM & Presence Service (Unified",2026-04-27T23:12:22Z
CVE-2026-20805,Microsoft,Windows,Microsoft Windows Information Disclosure Vulnerability,2026-01-13,2026-02-03,Unknown,MSFT,Microsoft Windows Desktop Windows Manager contains an information disclosure vulnerability that allows an authorized attacker to disclose information locally.,2026-04-27T23:12:22Z
CVE-2025-8110,Gogs,Gogs,Gogs Path Traversal Vulnerability,2026-01-12,2026-02-02,Unknown,,Gogs contains a path traversal vulnerability affecting improper Symbolic link handling in the PutContents API that could allow for code execution.,2026-04-27T23:12:22Z
CVE-2009-0556,Microsoft,Office,Microsoft Office PowerPoint Code Injection Vulnerability,2026-01-07,2026-01-28,Unknown,MSFT,Microsoft Office PowerPoint contains a code injection vulnerability that allows remote attackers to execute arbitrary code via a PowerPoint file with an OutlineTextRefAtom containing an invalid index ,2026-04-27T23:12:22Z
CVE-2025-37164,Hewlett Packard Enterprise (HPE),OneView,Hewlett Packard Enterprise (HPE) OneView Code Injection Vulnerability,2026-01-07,2026-01-28,Unknown,,Hewlett Packard Enterprise (HPE) OneView contains a code injection vulnerability that allows a remote unauthenticated user to perform remote code execution.,2026-04-27T23:12:22Z
CVE-2025-14847,MongoDB,MongoDB and MongoDB Server,MongoDB and MongoDB Server Improper Handling of Length Parameter Inconsistency Vulnerability,2025-12-29,2026-01-19,Unknown,MDB,MongoDB Server contains an improper handling of length parameter inconsistency vulnerability in Zlib compressed protocol headers. This vulnerability may allow a read of uninitialized heap memory by an,2026-04-27T23:12:22Z
CVE-2023-52163,Digiever,DS-2105 Pro,Digiever DS-2105 Pro Missing Authorization Vulnerability,2025-12-22,2026-01-12,Unknown,,Digiever DS-2105 Pro contains a missing authorization vulnerability which could allow for command injection via time_tzsetup.cgi.,2026-04-27T23:12:22Z
CVE-2025-14733,WatchGuard,Firebox,WatchGuard Firebox Out of Bounds Write Vulnerability,2025-12-19,2025-12-26,Unknown,,WatchGuard Fireware OS iked process contains an out of bounds write vulnerability in the OS iked process. This vulnerability may allow a remote unauthenticated attacker to execute arbitrary code and a,2026-04-27T23:12:22Z
CVE-2025-59374,ASUS,Live Update,ASUS Live Update Embedded Malicious Code Vulnerability,2025-12-17,2026-01-07,Unknown,,ASUS Live Update contains an embedded malicious code vulnerability client were distributed with unauthorized modifications introduced through a supply chain compromise. The modified builds could cause,2026-04-27T23:12:22Z
CVE-2025-40602,SonicWall,SMA1000 appliance,SonicWall SMA1000 Missing Authorization Vulnerability,2025-12-17,2025-12-24,Unknown,,SonicWall SMA1000 contains a missing authorization vulnerability that could allow for privilege escalation appliance management console (AMC) of affected devices.,2026-04-27T23:12:22Z
CVE-2025-20393,Cisco,Multiple Products,Cisco Multiple Products Improper Input Validation Vulnerability,2025-12-17,2025-12-24,Unknown,CSCO,"Cisco Secure Email Gateway, Secure Email, AsyncOS Software, and Web Manager appliances contains an improper input validation vulnerability that allows threat actors to execute arbitrary commands with ",2026-04-27T23:12:22Z
